State,City,County,Ownership,Use,LocationID,SiteNumber,ARPLatitude,ARPLongitude
AK,EAGLE RIVER,ANCHORAGE,PR,PU,D72,50176.03*C,61-21-09.0700N,149-32-46.8600W
AK,EAGLE RIVER,ANCHORAGE,PR,PR,47AK,50175.01*A,61-17-33.0000N,149-31-57.0000W
AK,EEK,BETHEL,PU,PU,EEK,50177.*A,60-12-49.3000N,162-02-38.0000W
AK,EGEGIK,BRISTOL BAY,PU,PU,EII,50178.1*A,58-11-07.7650N,157-22-31.5400W
AK,EKUK,BRISTOL BAY,PR,PR,KKU,50181.7*A,58-48-40.2930N,158-33-31.8330W
AK,EKWOK,BRISTOL BAY,PU,PU,KEK,50182.*A,59-21-24.6200N,157-28-16.0900W
AK,ELDRED ROCK,SKAGWAY-YAKUTAT,PU,PR,ERO,50195.7*H,58-58-15.8110N,135-14-14.5760W
AK,ELFIN COVE,SKAGWAY-YAKUTAT,PU,PU,ELV,50196.3*C,58-11-42.6630N,136-20-50.6140W
AK,ELIM,NOME,PU,PU,ELI,50197.*A,64-36-53.9000N,162-16-13.9000W
AK,ELIM,NOME,PR,PR,MOS,50197.01*A,64-41-53.4550N,162-03-26.2770W
AK,ELLAMAR,VALDEZ-CHITNA-WHITIE,PU,PU,1Z9,50197.3*C,60-53-38.0680N,146-42-13.2910W
AK,EMMONAK,WADE HAMPTON,PU,PU,ENM,50198.61*A,62-47-10.1000N,164-29-26.7000W
AK,ENTRANCE ISLAND,WRANGELL-PETERSBURG,PU,PU,2Z1,50199.6*C,57-24-43.7420N,133-26-22.1960W
AK,EUREKA CREEK,YUKON-KOYUKUK,PU,PU,2Z2,50202.*A,65-10-33.2810N,150-13-13.9390W
AK,EVA CREEK,FAIRBANKS NORTH STAR,PU,PU,2Z3,50203.*A,64-02-31.6000N,148-51-47.3000W
AK,EXCURSION INLET,SKAGWAY-YAKUTAT,PU,PU,EXI,50208.*C,58-25-13.7950N,135-26-56.5180W
AK,FAIRBANKS,FAIRBANKS NORTH STAR,PR,PR,AK28,50215.01*A,64-48-50.5000N,147-55-06.8000W
AK,FAIRBANKS,FAIRBANKS NORTH STAR,PU,PU,2Z5,50215.*C,64-49-58.4380N,147-50-53.7300W
AK,FAIRBANKS,FAIRBANKS NORTH STAR,PR,PR,31AK,50215.2*A,64-49-58.4680N,147-25-28.7160W
AK,FAIRBANKS,FAIRBANKS NORTH STAR,MA,PR,EIL,50217.*A,64-39-56.3200N,147-06-05.1800W
AK,FAIRBANKS,FAIRBANKS NORTH STAR,PU,PU,FAI,50219.*A,64-48-54.4000N,147-51-23.2000W
AK,FAIRBANKS,FAIRBANKS NORTH STAR,PU,PU,AK7,50216.32*A,64-11-53.0000N,147-55-43.0000W
AK,FAIRBANKS,FAIRBANKS NORTH STAR,PR,PR,32AK,50215.04*A,64-54-33.4300N,147-54-50.2600W
AK,FAIRBANKS,FAIRBANKS NORTH STAR,PR,PR,AK22,50215.03*A,64-49-18.0000N,147-31-18.0000W
AK,FAIRBANKS,FAIRBANKS NORTH STAR,PR,PR,MTF,50215.1*A,64-48-24.4440N,147-45-44.7160W
AK,FAIRBANKS,FAIRBANKS NORTH STAR,PR,PR,AK52,50215.21*A,64-53-20.0000N,147-32-08.1400W
AK,FAIRBANKS,FAIRBANKS NORTH STAR,PR,PR,25AA,50215.05*A,64-55-43.1700N,147-52-50.0600W
AK,FAIRBANKS,FAIRBANKS NORTH STAR,PR,PR,83AK,50218.*A,65-15-23.4000N,148-49-48.9200W
AK,FAIRBANKS,FAIRBANKS NORTH STAR,PR,PR,1AK9,50215.02*H,64-48-55.4370N,147-51-43.7240W
AK,FAIRBANKS /FT WAINWRIGHT/,FAIRBANKS NORTH STAR,MR,PR,2AK1,50216.3*A,64-21-49.4610N,147-21-49.5290W
AK,FAIRBANKS /FT WAINWRIGHT/,FAIRBANKS NORTH STAR,MR,PR,2AK2,50216.31*A,64-27-12.4510N,147-33-48.5710W
AK,FAIRBANKS/FT WAINWRIGHT,FAIRBANKS NORTH STAR,MR,PR,FBK,50216.*A,64-50-12.2078N,147-36-58.4046W
AK,FALSE ISLAND,SITKA,PU,PU,2Z6,50221.3*C,57-31-55.7560N,135-12-48.4240W
AK,FALSE PASS,ALEUTIAN ISLANDS,PU,PU,KFP,50221.5*A,54-50-52.1500N,163-24-25.4800W
AK,FAREWELL,KUSKOKWIM,PU,PU,FWL,50222.*A,62-30-32.8000N,153-53-25.0200W
AK,FAREWELL LAKE,KUSKOKWIM,PU,PU,FKK,50223.1*C,62-32-32.8340N,153-37-21.0360W
AK,FAREWELL LAKE,KUSKOKWIM,PU,PU,TNW,50223.*A,62-31-53.8330N,153-36-40.0340W
AK,FEATHER RIVER,NOME,PU,PU,3Z1,50225.7*A,64-49-54.2180N,166-07-53.4800W
