originapt,destapt,quart,origincity,destcity,origin,destination,distance,passengers,fare,carrier_lg,fare_lg
ABQ,CLT,20092,1680,17960,"Albuquerque, New Mexico, USA","Charlotte, North Carolina, USA",1449,76.26373626,175.6318588,AA,163.2002281
ABQ,MDW,20092,1680,18500,"Albuquerque, New Mexico, USA","Chicago, Illinois, USA",1121,422.967033,159.3955547,WN,152.3080385
ABQ,CVG,20092,1680,19270,"Albuquerque, New Mexico, USA","Cincinnati, Ohio, USA",1240,48.02197802,174.2183753,DL,200.8831818
ABQ,CLE,20092,1680,19770,"Albuquerque, New Mexico, USA","Cleveland, Ohio, USA",1411,57.47252747,186.1947036,WN,178.5087079
ABQ,COS,20092,1680,20410,"Albuquerque, New Mexico, USA","Colorado Springs, Colorado, USA",280,14.50549451,199.4761364,UA,227.3746237
ABQ,CAE,20092,1680,20470,"Albuquerque, New Mexico, USA","Columbia, South Carolina, USA",1453,12.52747253,301.2294737,DL,328.7156522
ABQ,CMH,20092,1680,20570,"Albuquerque, New Mexico, USA","Columbus, Ohio, USA",1343,66.7032967,197.2423723,AA,173.8605419
ABQ,CRP,20092,1680,21560,"Albuquerque, New Mexico, USA","Corpus Christi, Texas, USA",735,12.85714286,205.3103419,WN,190.3089024
ABQ,DAL,20092,1680,23210,"Albuquerque, New Mexico, USA","Dallas/Ft.Worth, Texas, USA",580,671.2087912,150.5544008,WN,149.6020429
ABQ,DAY,20092,1680,23680,"Albuquerque, New Mexico, USA","Dayton, Ohio, USA",1272,36.81318681,227.6504478,AA,246.9523894
ABQ,DEN,20092,1680,24090,"Albuquerque, New Mexico, USA","Denver, Colorado, USA",349,530.4395604,93.97697535,WN,88.53076218
ABQ,DSM,20092,1680,24180,"Albuquerque, New Mexico, USA","Des Moines, Iowa, USA",833,17.47252747,210.6472327,AA,212.2772727
ABQ,DTW,20092,1680,24260,"Albuquerque, New Mexico, USA","Detroit, Michigan, USA",1347,134.945055,174.9725163,AA,161.4423708
ABQ,ELP,20092,1680,26930,"Albuquerque, New Mexico, USA","El Paso, Texas, USA",223,95.71428571,105.8607118,WN,105.8607118
ABQ,FLL,20092,1680,29420,"Albuquerque, New Mexico, USA","Ft. Lauderdale, Florida, USA",1687,123.5164835,172.3783986,WN,163.096985
ABQ,RSW,20092,1680,29540,"Albuquerque, New Mexico, USA","Ft. Myers, Florida, USA",1584,29.78021978,200.3939483,AA,186.4239362
ABQ,VPS,20092,1680,29810,"Albuquerque, New Mexico, USA","Valparaiso, Florida, USA",1193,16.48351648,423.1826667,AA,412.9238235
ABQ,FAT,20092,1680,30270,"Albuquerque, New Mexico, USA","Fresno, California, USA",744,16.81318681,222.548366,US,206.4723232
ABQ,GRR,20092,1680,33290,"Albuquerque, New Mexico, USA","Grand Rapids, Michigan, USA",1253,21.31868132,227.7553608,NW,212.0914815
ABQ,GRB,20092,1680,33410,"Albuquerque, New Mexico, USA","Green Bay, Wisconsin, USA",1176,11.20879121,179.3629412,NW,183.1933824
ABQ,GSO,20092,1680,33460,"Albuquerque, New Mexico, USA","Greensboro/High Point, Nc, USA",1499,20.65934066,205.4799468,DL,204.1984762
ABQ,HRL,20092,1680,35390,"Albuquerque, New Mexico, USA","Harlingen, Texas, USA",807,10.65934066,184.0912371,WN,185.3104494
ABQ,MDT,20092,1680,35420,"Albuquerque, New Mexico, USA","Harrisburg, Pennsylvania, USA",1667,11.42857143,210.4084615,DL,208.2007843
ABQ,BDL,20092,1680,35510,"Albuquerque, New Mexico, USA","Hartford, Ct/Springfield, Ma, USA",1886,89.56043956,201.314908,WN,214.5530043
ABQ,HOU,20092,1680,37320,"Albuquerque, New Mexico, USA","Houston, Texas, USA",759,297.4725275,164.6529036,WN,161.5907518
ABQ,HSV,20092,1680,37550,"Albuquerque, New Mexico, USA","Huntsville, Alabama, USA",1126,22.1978022,288.5219802,AA,259.9854472
ABQ,IND,20092,1680,38490,"Albuquerque, New Mexico, USA","Indianapolis, Indiana, USA",1161,85.4945055,165.866401,WN,173.5627273
ABQ,PSP,20092,1680,38530,"Albuquerque, New Mexico, USA","Indio/Palm Springs, California, USA",571,12.74725275,214.389569,US,222.4075269
ABQ,JAN,20092,1680,40080,"Albuquerque, New Mexico, USA","Jackson/Vicksburg, Mississippi, USA",970,18.57142857,185.025858,AA,172.4867021
ABQ,JAX,20092,1680,40140,"Albuquerque, New Mexico, USA","Jacksonville, Florida, USA",1480,50.10989011,191.3703728,WN,181.8145
ABQ,MCI,20092,1680,42650,"Albuquerque, New Mexico, USA","Kansas City, Missouri, USA",718,174.6153846,141.2989994,WN,139.853282
ABQ,TYS,20092,1680,45540,"Albuquerque, New Mexico, USA","Knoxville, Tennessee, USA",1274,34.17582418,259.1984566,AA,238.3521569
ABQ,LAS,20092,1680,48880,"Albuquerque, New Mexico, USA","Las Vegas, Nevada, USA",487,547.8021978,145.5980843,WN,145.6354575
ABQ,LIT,20092,1680,50670,"Albuquerque, New Mexico, USA","Little Rock, Arkansas, USA",817,39.45054945,185.1804457,WN,192.5736036
ABQ,LGB,20092,1680,51200,"Albuquerque, New Mexico, USA","Long Beach, California, USA",664,13.95604396,150.5205512,US,151.9555085
ABQ,ISP,20092,1680,51210,"Albuquerque, New Mexico, USA","Islip/Long Island, New York, USA",1861,15.71428571,215.0007692,WN,207.8018248
ABQ,LAX,20092,1680,51410,"Albuquerque, New Mexico, USA","Los Angeles, California, USA",677,572.3076923,162.7227861,WN,158.1693189
ABQ,SDF,20092,1680,51510,"Albuquerque, New Mexico, USA","Louisville, Kentucky, USA",1177,34.94505495,183.9378931,AA,189.2046565
ABQ,LBB,20092,1680,51640,"Albuquerque, New Mexico, USA","Lubbock, Texas, USA",289,23.84615385,101.1773733,WN,99.29672897
ABQ,MSN,20092,1680,52470,"Albuquerque, New Mexico, USA","Madison, Wisconsin, USA",1080,25.16483517,152.9735808,AA,133.7864865
ABQ,MHT,20092,1680,53970,"Albuquerque, New Mexico, USA","Manchester, New Hampshire, USA",1954,58.68131868,203.6703558,WN,212.8426615
ABQ,MEM,20092,1680,57180,"Albuquerque, New Mexico, USA","Memphis, Tennessee, USA",942,27.58241758,234.9942231,AA,223.5557831
ABQ,MIA,20092,1680,57560,"Albuquerque, New Mexico, USA","Miami, Florida, USA",1689,43.18681319,190.1320356,AA,181.2670283
ABQ,MAF,20092,1680,57650,"Albuquerque, New Mexico, USA","Midland/Odessa, Texas, USA",332,51.20879121,106.1905794,WN,103.9934348
ABQ,MKE,20092,1680,57850,"Albuquerque, New Mexico, USA","Milwaukee, Wisconsin, USA",1142,66.26373626,125.8159038,F9,114.799708
ABQ,MSP,20092,1680,57970,"Albuquerque, New Mexico, USA","Minneapolis/St.Paul, Minnesota, USA",981,213.0769231,144.3233677,NW,140.6184129
ABQ,MLI,20092,1680,58700,"Albuquerque, New Mexico, USA","Moline, Illinois, USA",979,13.07692308,166.0138656,UA,149.132807
