ocityname,dcityname,tbl,quart,origincity,destcity,distance,passengers,fare,carrier_lg,large_ms,fare_lg,carrier_low,lf_ms,fare_low,numrecs,orgapt,desapt
"Albuquerque, NM","Little Rock, AR",Table 6,20113,30140,32600,817,26.95652174,240.497379,WN,56.0483871,236.2910072,WN,56.0483871,236.2910072,119,ABQ,LIT
"Albuquerque, NM","Lubbock, TX",Table 6,20113,30140,32896,290,16.63043478,124.4519608,WN,100,124.4519608,WN,100,124.4519608,120,ABQ,LBB
"Albuquerque, NM","Louisville, KY",Table 6,20113,30140,33044,1178,43.36956522,195.7063409,AA,50.12531328,168.8865,AA,50.12531328,168.8865,121,ABQ,SDF
"Albuquerque, NM","Cincinnati, KY",Table 6,20113,30140,33105,1241,40.97826087,234.2501857,AA,57.02917772,221.8981861,AA,57.02917772,221.8981861,122,ABQ,CVG
"Albuquerque, NM","Midland/Odessa, TX",Table 6,20113,30140,33158,332,34.23913044,149.0394603,WN,98.73015873,146.5192283,WN,98.73015873,146.5192283,123,ABQ,MAF
"Albuquerque, NM","Sacramento, CA",Table 6,20113,30140,33192,866,134.1304348,202.4586143,WN,74.71636953,201.0547289,AA,3.484602917,150.785814,124,ABQ,SMF
"Albuquerque, NM","Tampa, FL",Table 6,20113,30140,33195,1498,107.5,207.688089,WN,43.5793731,215.8612993,AA,36.29929221,193.6720056,125,ABQ,TPA
"Albuquerque, NM","Kansas City, MO",Table 6,20113,30140,33198,718,153.4782609,200.0403895,WN,73.58356941,207.6720212,AA,12.96033994,176.5534973,126,ABQ,MCI
"Albuquerque, NM","San Antonio, TX",Table 6,20113,30140,33214,609,178.0434783,183.4195727,WN,67.3992674,184.5265399,WN,67.3992674,184.5265399,127,ABQ,SAT
"Albuquerque, NM","Memphis, TN",Table 6,20113,30140,33244,942,25.32608696,298.518927,AA,54.50643777,276.9707087,AA,54.50643777,276.9707087,128,ABQ,MEM
"Albuquerque, NM","Omaha, NE",Table 6,20113,30140,33316,725,54.56521739,186.8985657,WN,33.86454183,216.6101177,F9,15.73705179,147.0316456,129,ABQ,OMA
"Albuquerque, NM","Milwaukee, WI",Table 6,20113,30140,33342,1142,84.23913044,170.5023613,DL,32.51612903,156.9713889,DL,32.51612903,156.9713889,130,ABQ,MKE
"Albuquerque, NM","Madison, WI",Table 6,20113,30140,33485,1080,29.23913044,189.3500744,DL,43.12267658,168.3914655,DL,43.12267658,168.3914655,131,ABQ,MSN
"Albuquerque, NM","New Orleans, LA",Table 6,20113,30140,33495,1014,71.19565217,207.0194809,WN,46.71755725,209.7952614,WN,46.71755725,209.7952614,132,ABQ,MSY
"Albuquerque, NM","San Diego, CA",Table 6,20113,30140,33570,628,370.326087,167.7407602,WN,88.78778984,166.6313289,AA,1.320810097,148.9428889,133,ABQ,SAN
"Albuquerque, NM","Norfolk, VA",Table 6,20113,30140,33667,1702,51.84782609,282.0102725,DL,45.70230608,282.2449083,DL,45.70230608,282.2449083,134,ABQ,ORF
"Albuquerque, NM","Pensacola, FL",Table 6,20113,30140,33728,1172,12.5,281.6909565,DL,40.86956522,250.0448936,DL,40.86956522,250.0448936,135,ABQ,PNS
"Albuquerque, NM","Oklahoma City, OK",Table 6,20113,30140,33851,510,51.41304348,219.4386258,WN,58.77378436,226.3826978,AA,30.23255814,211.4553147,136,ABQ,OKC
"Albuquerque, NM","West Palm Beach/Palm Beach, FL",Table 6,20113,30140,34027,1671,16.19565217,256.4191275,DL,38.25503356,283.4936842,WN,10.06711409,232.6653333,137,ABQ,PBI
"Albuquerque, NM","Portland, OR",Table 6,20113,30140,34057,1111,277.6086957,183.0059554,WN,76.54659358,175.3112123,AA,1.487862177,165.1378947,138,ABQ,PDX
"Albuquerque, NM","Philadelphia, PA",Table 6,20113,30140,34100,1747,165.6521739,233.3647179,AA,36.35170604,200.1898014,AA,36.35170604,200.1898014,139,ABQ,PHL
"Albuquerque, NM","Pasco/Kennewick/Richland, WA",Table 6,20113,30140,34252,1013,10,418.0675,DL,73.91304348,412.9776471,DL,73.91304348,412.9776471,140,ABQ,PSC
"Albuquerque, NM","Palm Springs, CA",Table 6,20113,30140,34262,571,11.63043478,214.6648598,US,69.15887851,209.6458108,UA,16.82242991,183.5083333,141,ABQ,PSP
"Albuquerque, NM","Portland, ME",Table 6,20113,30140,34321,2015,14.56521739,292.2010448,DL,64.92537313,294.2566667,UA,12.68656716,281.8488235,142,ABQ,PWM
"Albuquerque, NM","Rapid City, SD",Table 6,20113,30140,34457,649,12.82608696,327.2509322,UA,64.40677966,327.2873684,UA,64.40677966,327.2873684,143,ABQ,RAP
"Albuquerque, NM","Raleigh/Durham, NC",Table 6,20113,30140,34492,1565,66.41304348,262.5510147,WN,31.42389525,252.5276042,WN,31.42389525,252.5276042,144,ABQ,RDU
"Albuquerque, NM","Richmond, VA",Table 6,20113,30140,34524,1637,16.30434783,342.0589333,DL,35.33333333,304.5249057,DL,35.33333333,304.5249057,145,ABQ,RIC
"Albuquerque, NM","Reno, NV",Table 6,20113,30140,34570,787,71.84782609,213.0099697,WN,75.03782148,216.8756452,US,11.34644478,203.0461333,146,ABQ,RNO
"Albuquerque, NM","Rochester, NY",Table 6,20113,30140,34576,1643,12.2826087,394.8960177,DL,52.21238938,357.9689831,DL,52.21238938,357.9689831,147,ABQ,ROC
"Albuquerque, NM","Salt Lake City, UT",Table 6,20113,30140,34614,493,209.673913,174.6644012,DL,50.38880249,188.5726543,WN,43.64955936,154.1323515,148,ABQ,SLC
"Albuquerque, NM","Tulsa, OK",Table 6,20113,30140,34653,608,46.52173913,256.5189953,WN,66.12149533,261.094735,AA,27.80373832,244.6508403,149,ABQ,TUL
