originapt,destapt,tbl,quart,origincity,destcity,origin,destination,distance,passengers,fare,carrier_lg,large_ms,fare_lg,carrier_low,lf_ms,fare_low,numrecs
CAK,TLH,Table 6,20082,01270,87620,"Akron/Canton, Ohio, USA","Tallahassee, Florida, USA",743,10.879120879,229.80010101,DL,74.747474747,219.95635135,DL,74.747474747,219.95635135,56
CAK,TPA,Table 6,20082,01270,87870,"Akron/Canton, Ohio, USA","Tampa, Florida, USA",894,278.13186813,130.85655867,FL,88.225997629,127.14708016,FL,88.225997629,127.14708016,57
CAK,TUS,Table 6,20082,01270,91940,"Akron/Canton, Ohio, USA","Tucson, Arizona, USA",1740,10.879120879,198.03707071,F9,60.606060606,191.58516667,F9,60.606060606,191.58516667,58
CAK,PBI,Table 6,20082,01270,97160,"Akron/Canton, Ohio, USA","West Palm Beach, Florida, USA",984,29.56043956,186.12892193,DL,47.583643123,181.2190625,DL,47.583643123,181.2190625,59
CAK,ICT,Table 6,20082,01270,97500,"Akron/Canton, Ohio, USA","Wichita, Kansas, USA",885,12.747252747,198.58482759,DL,43.965517241,216.87,FL,24.137931034,157.77571429,60
CAK,ILM,Table 6,20082,01270,97780,"Akron/Canton, Ohio, USA","Wilmington, North Carolina, USA",498,14.725274725,179.90007463,US,69.402985075,185.22397849,DL,27.611940299,167.42351351,61
ABY,LGA,Table 6,20082,01540,63760,"Albany, Georgia, USA","New York, New York, USA",859,14.175824176,227.56007752,DL,97.674418605,223.90920635,DL,97.674418605,223.90920635,62
ABY,IAD,Table 6,20082,01540,96460,"Albany, Georgia, USA","Washington, D.C., USA",647,19.450549451,282.08129944,DL,97.740112994,280.34011561,DL,97.740112994,280.34011561,63
ALB,ABQ,Table 6,20082,01580,01680,"Albany, New York, USA","Albuquerque, New Mexico, USA",1833,49.450549451,239.44911111,WN,38,251.82520468,UA,19.111111111,233.98093023,64
ALB,AVL,Table 6,20082,01580,05420,"Albany, New York, USA","Asheville, North Carolina, USA",688,14.395604396,204.85198473,US,44.27480916,262.18344828,NW,21.374045802,129.93464286,65
ALB,ATL,Table 6,20082,01580,05850,"Albany, New York, USA","Atlanta, Georgia, USA",852,147.69230769,360.59424107,DL,70.461309524,384.52220697,US,13.913690476,303.53016043,66
ALB,AUS,Table 6,20082,01580,06100,"Albany, New York, USA","Austin, Texas, USA",1577,67.802197802,226.89972447,WN,26.256077796,248.26901235,CO,11.831442464,196.21123288,67
ALB,BWI,Table 6,20082,01580,07220,"Albany, New York, USA","Baltimore, Maryland, USA",288,625.38461538,100.28727464,WN,95.94095941,98.809177656,WN,95.94095941,98.809177656,68
ALB,BHM,Table 6,20082,01580,11030,"Albany, New York, USA","Birmingham, Alabama, USA",946,39.120879121,220.71258427,WN,46.06741573,216.7627439,CO,10.674157303,164.92657895,69
ALB,BOI,Table 6,20082,01580,11800,"Albany, New York, USA","Boise, Idaho, USA",2121,10,266.77967033,UA,54.945054945,304.9632,NW,12.087912088,194.26454545,70
ALB,BUF,Table 6,20082,01580,13730,"Albany, New York, USA","Buffalo, New York, USA",251,13.186813187,233.95466667,US,95,231.22035088,DL,1.6666666667,192,71
ALB,BUR,Table 6,20082,01580,14070,"Albany, New York, USA","Glendale, California, USA",2457,12.307692308,249.49267857,WN,94.642857143,226.82,WN,94.642857143,226.82,72
ALB,CHS,Table 6,20082,01580,17900,"Albany, New York, USA","Charleston, South Carolina, USA",759,32.747252747,214.38030201,US,69.463087248,215.46173913,US,69.463087248,215.46173913,73
ALB,CLT,Table 6,20082,01580,17960,"Albany, New York, USA","Charlotte, North Carolina, USA",646,121.20879121,234.71024479,US,72.257479601,252.21624843,NW,10.063463282,123.81117117,74
ALB,MDW,Table 6,20082,01580,18500,"Albany, New York, USA","Chicago, Illinois, USA",723,379.01098901,199.8990403,UA,52.131052479,204.82039488,WN,30.124673818,175.52000962,75
ALB,CVG,Table 6,20082,01580,19270,"Albany, New York, USA","Cincinnati, Ohio, USA",623,43.626373626,336.07596977,DL,82.871536524,340.00714286,UA,3.274559194,180.94307692,76
ALB,CLE,Table 6,20082,01580,19770,"Albany, New York, USA","Cleveland, Ohio, USA",424,85.274725275,234.22510309,CO,73.582474227,245.50530648,WN,15.206185567,174.0579661,77
ALB,COS,Table 6,20082,01580,20410,"Albany, New York, USA","Colorado Springs, Colorado, USA",1634,11.648351648,267.06877358,UA,55.660377358,249.68915254,NW,16.981132075,191.45722222,78
ALB,CAE,Table 6,20082,01580,20470,"Albany, New York, USA","Columbia, South Carolina, USA",725,26.373626374,189.798375,US,49.583333333,197.6194958,NW,12.5,133.69666667,79
ALB,CMH,Table 6,20082,01580,20570,"Albany, New York, USA","Columbus, Ohio, USA",508,57.692307692,186.56721905,WN,27.238095238,177.7072028,NW,17.142857143,135.633,80
ALB,DAL,Table 6,20082,01580,23210,"Albany, New York, USA","Dallas/Ft.Worth, Texas, USA",1435,133.95604396,261.70312551,US,30.2707137,273.56444444,WN,11.238720263,215.76744526,81
ALB,DAY,Table 6,20082,01580,23680,"Albany, New York, USA","Dayton, Ohio, USA",576,20.32967033,253.11794595,US,51.351351351,267.77105263,DL,15.135135135,207.44607143,82
ALB,DEN,Table 6,20082,01580,24090,"Albany, New York, USA","Denver, Colorado, USA",1609,162.08791209,240.77056949,UA,31.93220339,280.89607219,NW,21.084745763,166.40681672,83
ALB,DTW,Table 6,20082,01580,24260,"Albany, New York, USA","Detroit, Michigan, USA",488,135.16483516,180.56430081,NW,85.528455285,173.2219962,UA,1.2195121951,141.684,84
ALB,ELP,Table 6,20082,01580,26930,"Albany, New York, USA","El Paso, Texas, USA",1932,11.868131868,280.05268519,WN,37.962962963,269.80268293,WN,37.962962963,269.80268293,85
ALB,XNA,Table 6,20082,01580,28270,"Albany, New York, USA","Fayetteville, Arkansas, USA",1179,12.087912088,273.03445455,DL,31.818181818,263.07028571,CO,10.909090909,209.0975,86
ALB,FLL,Table 6,20082,01580,29420,"Albany, New York, USA","Ft. Lauderdale, Florida, USA",1204,182.96703297,172.85792192,WN,44.864864865,174.79613119,DL,11.591591592,152.55476684,87
ALB,RSW,Table 6,20082,01580,29540,"Albany, New York, USA","Ft. Myers, Florida, USA",1204,140.76923077,180.92324746,WN,43.950039032,186.55692718,CO,11.085089774,164.00992958,88
ALB,GRR,Table 6,20082,01580,33290,"Albany, New York, USA","Grand Rapids, Michigan, USA",595,13.736263736,258.43032,NW,40.8,250.03901961,NW,40.8,250.03901961,89
ALB,GSO,Table 6,20082,01580,33460,"Albany, New York, USA","Greensboro/High Point, Nc, USA",564,29.230769231,168.83838346,US,59.77443609,185.54308176,DL,11.278195489,136.52233333,90
